Subject_new,body_clean,topic_embed,topic_label,manual_label
CarSmart Price Quote,kevin hyatt br  date mon aug br carsmart vehicle price quotebr vehicle ford fbr request brbr thank using carsmart request vehicle price quote beenbr received currently processed expect contacted abr carsmart dealership representative business hours quote forbr vehicle requestedbrbrif prefer contact dealership directly number tobr insure receive carsmart price contacting thebr dealership directly sure ask specifically carsmartbr representative identify carsmart customerbrbr dealership joe myers fordbr address northwest freeway houston tx brbr carsmart rep danny olivebr phone br email salesjoemyersfordcombr br satisfaction important require assistance ifbr hear selling dealer contact carsmart customerbr service department email customerservicecarsmartcom phone atbr thank selecting carsmartbrbrbr brbrfor complete car care park garagebr use garage track cars history receive service reminders repairbr estimates directions maps weather forecasts read safety reportsbr check recall notices shop insurance atbr carsmartcoms garage complete auto garage internet forbr things automotive park car href targetnewbherebabrbrbr,0,Meeting Feedback,Meeting / Scheduling
FW Kiodex Premeeting ROOM CHANGE TO EB,robbie pateder project manager working tech regards michael original message pateder robbie sent wednesday june guadarrama michael subject fw kiodex premeeting room change eb original message moorer torrey sent tuesday june pm pateder robbie cass robert b denny jennifer meredith kevin subject fw kiodex premeeting apologies location changed eb original message moorer torrey sent tuesday june pm pateder robbie meredith kevin denny jennifer cass robert b subject kiodex premeeting hi guys reserved eb wednesday mapping information requirements kiodex plan attending let jennifer rosado know scheduling conflicts,0,Meeting Feedback,Meeting / Scheduling
eThink About It,join cindy olson executive vice president human resources community affairs tuesday february houston time cindy conduct openmike discussion enrons latest prc process remember make live event visit espeak site post questions ethinkenroncom,0,Meeting Feedback,Other / Uncategorized
Training for Sabrae,like set half day training sessions sabrae zajac starting week like spend time volume management transportation gas control trading support week let know group available best timeday starts week monday april th,0,Meeting Feedback,HR / Personal
updated,original message woods trevor sent tuesday october taylor michael e subject inline attachment follows oenronounacnrecipientscntwoods date wednesday august gmt subject northwestern steel wire david lon nox bankcruptcy review inline attachment follows oenronounacnrecipientscntwoods date thursday september gmt subject grandfathered facility montgomery county nsr need cap trade involved current plan inside fence clean havent seen real opp create allowances power plant unregulated year mw program year looking control tech inline attachment follows oenronounacnrecipientscntwoods date wednesday june gmt subject voc inline attachment follows oenronounacnrecipientscntwoods date wednesday august gmt subject air products chemicals steven morrison tpy nox inline attachment follows oenronounacnrecipientscntwoods date friday august gmt subject royal baths mfg william munoz tpy nox msg inline attachment follows oenronounacnrecipientscntwoods date tuesday september gmt subject inline attachment follows oenronounacnrecipientscntwoods date friday june gmt subject seperate plants quest seperation program ton need allowances inline attachment follows oenronounacnrecipientscntwoods date thursday june gmt subject inline attachment follows oenronounacnrecipientscntwoods date monday august gmt subject matt paul emissions dte koch traded emissions jeremy taylor coal big focused efforts coal focused year months paulmdteenergycom mailtopaulmdteenergycom inline attachment follows oenronounacnrecipientscntwoods date friday august gmt subject doing year sure whos going stuff year inline attachment follows oenronounacnrecipientscntwoods date friday june gmt subject willhavesomeonegetincontactwithme mike t inline attachment follows oenronounacnrecipientscntwoods date friday june gmt subject wrong number inline attachment follows oenronounacnrecipientscntwoods date thursday august gmt subject henry platt deals emissions registered bunch credits dercs permit rule comperssion hp alot smaller units monday inline attachment follows oenronounacnrecipientscntwoods date wednesday june gmt subject tvoc t nox exp inline attachment follows oenronounacnrecipientscntwoods date wednesday june gmt subject nox msg inline attachment follows oenronounacnrecipientscntwoods date friday july gmt subject july,0,Meeting Feedback,Other / Uncategorized
UC CSU Update,briefly hearing planned focus uc issues postponed attached discussion concerning impact energy service providers turning customers dwrutility service federal judge scheduled uccsu enron energy services hearing april th uc requested immediate review versus procedural days schedule schedule reflects procedural answer information forwarded marty sundehouees enron energy services mike d smith dan leffhoueesees marty sundehoueesees jeff messinahoueesees harry kingerskinaenronenron vicki sharphoueesees robert c williamsenronenronxgate peggy mahoneyhoueesees james d steffesnaenronenron sandra mccubbinnaenronenron cc subject thursday hearing sandy sounds like going budget committee hearing thursday discuss dwr procurement effect marketers returning customers utility service looks like asked provide testimony customer specific issues mike day right person provide testimony needed ill pass details mds,0,Meeting Feedback,Meeting / Scheduling
How are you feeling,guess theres sort fine datingsounds like load bs whats aol messenger enron capital trade resources corp lisa gillette susan m scotthouectect cc subject feeling does mean does cost money date outside company susan m scott lisa gillettehouectect cc subject feeling definitely ted actionsserved purpose just feel rotten reiterated ass iswas actually said intercompany date bc costs money does date told good thing got enron capital trade resources corp lisa gillette susan m scotthouectect cc subject feeling ted actions susan m scott lisa gillettehouectect cc subject feeling feel okayjust regretting actions night oh life goes enron capital trade resources corp lisa gillette susan m scotthouectect cc subject feeling sue did feel morning doing embedded stdolelink embedded stdolelink embedded stdolelink embedded stdolelink,0,Meeting Feedback,Finance / Budget
Fwd Why ladies are the best,forwarded judy hernandezhouect pm maria sandoval pm chantelle villanuevahouectect elizabeth sotohouectect melissa rodriguezhouectect judy hernandezhouectect andrea r guillenhouectect pamela sonnierhouectect cc subject fwd ladies best forwarded maria sandovalhouect pm brenda barredaenrondevelopment pm buddies iracema hernandezcorpenronenron cc subject fwd ladies best forwarded brenda barredaenrondevelopment pm sara carrizal scarrizalyahoocom pm martha arriola marriolayorkgrpcom sheritascottenronnet lnmarinoemailmsncom cc subject fwd ladies best note forwarded message attached yahoo yahoo mail free email access  xapparentlyto scarrizalyahoocom webmailyahoocom received flawhotmailcom helo hotmailcom mtamailyahoocom smtp jul pdt received qmail invoked uid jul messageid qmailhotmailcom cc recipient list shown received   wed jul pdt xoriginatingip christina sanchez cmariehotmailcom subject ladies best date wed jul cdt mimeversion contenttype textplain formatdflowed contentlength parra eli parraeepenergycom gracehotmailcom gracehotmailcom cmariehotmailcom cmariehotmailcom lopez lorely lopezlepenergycom pinales nancy pinalesnepenergycom la garza marylou delagarzamepenergycom subject fw ladies best date wed jul chicks rule got titanic scare male bosses mysterious gynecological disorder excuses weve lusted cartoon character central figure computer game taxis stop dont look like frog blender dancing fashion faux pas make rival speedo dont fart amuse forget shave know congratulate teammate touching butt reach make sure privates ability dress talk people opposite sex having picture naked marry years younger aware look like idiot times chocolate really solve problems regret piercing ears fully assess person just looking shoes send bright women know make day email files transmitted el paso energy corporation confidential intended solely use individual entity addressed received email error notify sender private free email msn hotmail ,0,Meeting Feedback,Other / Uncategorized
Final Global Products Notification,attached enron global markets global products trading notification memo day cumulative loss june office chairman enron global markets responsible printing hard copy memo signing returning hard copy chris abel forward rac obtain signature thank,0,Meeting Feedback,Project Update
,forwarded mark taylorhouect mark taylor pm shonnie danielhouectect shawna flynnhouectect barbara n grayhouectect lisa mellencamphouectect lance schulerlegalhouectect lou stolerhouectect stuart zismanhouectect cc pat radfordhouectect taffy milliganhouectect linda j simmonshouectect dina snowcorpenronenron subject just quick note warning possible phase office construction process begin just week means finally time new offices taffy milligan submitting request friday jan details directly assistants help order boxes arrange,0,Meeting Feedback,Other / Uncategorized
FW RULING FOR HEARINGS ON AND,forwarded jeff dasovichnaenron jmb jbennettgmssrcom pm jdasovicenroncom jdasovicenroncom msmithenroncom msmithenroncom cc subject fw ruling hearings original message minkin angela k sent friday december pm subject ruling hearings parties attached promised ruling provides procedural guidance hearings ruling posted web site quickly possible thank patience hope moments enjoy holidays angela minkin administrative law judge pdoc,0,Meeting Feedback,Other / Uncategorized
Organizational Changes,support enrons continuing efforts increase return inves ted capital direct resources highest return businesses david haug chairman ceo enron calme jim hughes president coo enr apachi joe kishkill managing director enron south america frank stabler managing director enron calme join mark metts corporate wide effort help monetize enrons assets david help transition calme business activities parts enron whi le working mark asset monetization projects david continue executive vice president enron corp member enrons execu tive committee cliff baxter oversee effort consistent changes calme group divided follows enron global lng enrons caribbean basin activities new enron global markets egm group headed mike mcconnell rick bergsieker presidentcoo lng continue role dual role presidentcoo enron middle east join egm shawn cumberland president coo caribbean basin unit executive team carry transition process caribbean business unit s people businesses egm management colombia venezuela businesses transfer enron south america lngrelat ed activities egm described ees related initiatives people transferred units various international businesses participate usual th e upcoming budget process new alignment continue meet plan targets rd th quarters concurrently consolidating trading merchant activities japan australia enron europe joe hirl paul quilkey repo rt enron europes office chairman congratulate david haug rebecca mcdonald proposing realignments agree maximize financial intellectual capital enron coming weeks specific assignments reporting relationships determined communicated,0,Meeting Feedback,Finance / Budget
Robert Ray v Armstrong World Industries,database forwarded richard b sandershouect pm bonnie whiteenronenronxgate pm rob colehouectect cc lisa robichauxenronenronxgate andrew edisonnaenronenron richard b sandershouectect subject robert ray v armstrong world industries asbestos case hpl recently added defendant spoke scott wert plaintiffs counsel today hpl sued plaintiff larry don williams called info hpl sued alleged dates exposure wert advised hpl added plaintiff larry don williams allegedly exposed asbestos working thomas construction company hpl facility berkclair texas told williams allegedly exposed houston natural gas pipeline facility victoria texas served houston natural gas pipeline wert did information database williams employer time period rob previously discussed assume check determine policies insurance cover claims time periods answer date matter monday march plaintiffs counsel said couple extra weeks like send rule agreement secure extra time investigate insurance coverage,0,Meeting Feedback,Meeting / Scheduling
SWPC Transfer,unreasonably withholding consent agreeing assignment bit different mind enron north america corp mitch robinson pm kay manncorpenronenron cc don millerhouectect stuart zismanhouectect subject swpc transfer saying thing kay mann pm mitch robinsoncorpenronenron cc don millerhouectect stuart zismanhouectect subject swpc transfer believe swpc agreed assignment llcs subsequent transfer equity affect terms contracts including warranties enron north america corp mitch robinson pm don millerhouectect cc stuart zismanhouectect kay manncorpenronenron subject swpc transfer don forward allegheny order facilitate smooth transfer assets close turbine purchase contracts provide allegheny unused generation capability gleason entering agreement siemens westinghouse power corp swpc effect gleason wheatland facilities following way increase permissible power level gleason turbines mw mw specifically swpc allow gleason units maximum operating capability kw reset control curves accordingly swpc agree operation gleason units including kw normal operating parameters operation including level invalidate warranty swpc agreed make change week authorization swpc agrees gleason wheatland contracts associated warranties assigned limited liability companies owned enron entity pursuant terms conditions gleason wheatland contracts swpcs consent assignments unreasonably withheld swpc honor warranty claims currently outstanding asserted future contract assignee assuming assignment accordance terms conditions gleason wheatland contracts swpc agrees assist enron providing technical information including redacted copies purchase contracts applicable technical bulletins allegheny information limited information currently available enron technical nature believe features significantly beneficial allegheny ask allegheny feedback entering agreement end week regards mitch robinson,0,Meeting Feedback,Meeting / Scheduling
SBX SBX,forwarded steven j keannaenron pm scott govenar sgovenargovadvcom hedy govenar hgovenargovadvcom mike day mdaygmssrcom bev hansen bhansenlhomcom jeff dasovich jdasovicenroncom susan j mara smaraenroncom joseph alamo jalamoenroncom paul kaufman paulkaufmanenroncom michael mcdonald michaelmcdonaldenroncom david parquet davidparquetenroncom rick johnson rickjohnsonenroncom marcie milner mmilnerenroncom sandra mccubbin sandramccubbinenroncom tim belden timbeldenenroncom rick shapiro rshapiroenroncom jim steffes jamesdsteffesenroncom alan comnes acomnesenroncom chris calger ccalgerenroncom mary hain maryhainenroncom joe hartsoe joehartsoeenroncom donna fulton donnafultonenroncom steven kean stevenjkeanenroncom karen denne kdenneenroncom beverly aden beverlyadenenroncom votaw billvotawenroncom carol moffett carolmoffettenroncom debora whitehead deborawhiteheadenroncom dennis benevides dennisbenevidesenroncom don black donblackenroncom dorothy youngblood dorothyyoungbloodenroncom dblackenroncom dblackenroncom emelvinenroncom emelvinenroncom ehughesenroncom ehughesenroncom gweissenroncom gweissenroncom gsavageenroncom gsavageenroncom harrykingerskienroncom harrykingerskienroncom kgustafsenroncom kgustafsenroncom mike d smith msmithenroncom ryangenroncom ryangenroncom sgahnenroncom sgahnenroncom vsharpenroncom vsharpenroncom wcurryenroncom wcurryenroncom williamsbradfordenroncom williamsbradfordenroncom cc subject sbx sbx senate did sbx sbx prior adjourning long weekend time senate meet tuesday attached recent versions bills  senpdf  senpdf,0,Meeting Feedback,HR / Personal
MDEA,havent heard david scott heard marvin bob meeting confirmed monday im conference landfill yikes kay,0,Meeting Feedback,Meeting / Scheduling
Photos,forwarded mark taylorhouect pm mark taylor pm john eleanor taylor jandetayloremailmsncom cc subject photos tried send juno address came just case home received following pr department minutes ago sure watch chairman ceo ken lay fox news today appear world neil cavuto pm cst discuss enrons yearend financial operating highlights forwarded mark taylorhouect pm mark taylor pm mzeleanorjunocom eleanor f taylor cc subject photos received attachment sent christmas sure worked recieve took roll film developed special having photos returned disk prints christmas pictures send right away turns old roll,0,Meeting Feedback,HR / Personal
,original message mann kay sent thursday april pm fairley david rorschach reagan subject gentlemen points require commercial et al input intend include gas transactions calculation profit buying electricity serve load paid costs monthly accordance master gas master power agreements copies mdea jim homco questioned buy fuel oil want leave fuel deal ive added definition scheduling equipment costs used agreement limiting provision scheduling equipment equipment listed exhibit guaranteed monthly fee discuss b covers equipment costs estimate spend need able backto marvin money rick broussard reviewing equipment schedule completeness financial security required ask ed sacks attaching marketing strategy tradingrisk policy establishing time line pull gobys fronterra contract table contents exhibit deal possible cost establishing control area absorbing additional infrastructure costs control area contemplated agreementwe evaluate recommend want complete control area cost exhibits updated latest version today kay,0,Meeting Feedback,Meeting / Scheduling
Your funding code,send number gave purposes getting check,0,Meeting Feedback,Other / Uncategorized
meagans gift,amanda camp sunday saturday june meagan leaves sunday june return saturday june decide family vacation week june july july meagan starts bearkadette practices school start august days bearkadette camp july looks girl point summer unless amanda schedules austin visit meagans stints camp let know want talk dates white cara cwhitetexasustacom sallybeckenroncom sallybeckenroncom cc subject meagans gift sally great,0,Meeting Feedback,Meeting / Scheduling
Asset Marketing,forwarded kay manncorpenron pm enron americas office chairman enron americas office chairman pm sent enron announcements ena employees cc subject asset marketing pleased announce creation new group asset marketing enron americas asset marketing group responsibility asset divestment function enron americas work generation investments selected portfolio acquisitions managing power origination funding requirements treasury don miller head asset marketing group report directly office chair enron americas joining dons group stuart zisman stuart ena legal having recently worked sale enas peaker plants don join congratulating don stuart new roles,0,Meeting Feedback,Legal / Compliance
Domain Transfer Agreement,michael guys meeting risk management solutions tomorrow morning scott brown ve talking agreement afternoon heard john sherriff carol,0,Meeting Feedback,Meeting / Scheduling
Frontier Unit Outage for,frontier forced bring unit ash problem needed work generator starting frontier producing mw instead preschedule mw picked operating reserves remainder schedule sold unit contingent cut schedule mw starting till bonnie eweb agreed curtailment tag number deal questions regards bert meyers,0,Meeting Feedback,Meeting / Scheduling
To Resolve Your CQG problems,workstation shut cqg hard drive letter cqg installed c d using computer explorer cqg folder open x folder open private folder private folder sub folders log page temp delete temp folder right clicking left clicking delete restart cqg able prices youve missing regarding x update x messages running different clientx serverx versions enron time submitted fix taken care soon enron servers restarted tonight hope upgrading server client versions couple weeks contact questions theres,0,Meeting Feedback,Finance / Budget
Fwd Al Gore By the Numbers,forwarded eric basshouect m kb daphnecoyahoocom jasonbasscompaqcom ericbassenroncom cc subject fwd al gore numbers rnceleadermailechampionscom wrote rnceleadermailechampionscom daphnecoyahoocom subject al gore numbers date sun oct pdt dear kathy bass al gore habit exaggerating record numbers tell real truth record education healthcare taxes al gores education plans tax deduction al gore says received students want college tax deduction reality students working way college getting tax credit pay income taxes lowincome households benefit gores education plan families making benefit upper income families ineligible deductions credits room board books supplies travel education plan identical failed clinton white house al gores program healthca access fee year obtain prescription drug coverage gore plan new regulatory mandates created gore medicare plan new regulations dealing prescription drugs age opportunity buy government hmo year wait gores plan implemented times price bushs plan create government bureaucrats vice president taxes separate tax increases new user fees gore proposed budget tax burden increased years child tax credit included previous clintongore budgets taxpayers tax relief gores plan couples pay taxes gore opposed marriage penalty tax cut cents tax increase gallon gas gores tiebreaking vote important numbers days election pass friends,0,Meeting Feedback,Finance / Budget
your nd round pick,called bargaining giving good trying figure willing phillip m love pm eric basshouectect cc subject nd round pick explain good,0,Meeting Feedback,Meeting / Scheduling
West Curves,surename spot original message rabon chance sent tuesday february pm scott susan m subject west curves want meet morning original message scott susan m sent tuesday february pm rabon chance subject west curves days original message rabon chance sent tuesday february pm scott susan m subject west curves needing points needing reconstucted need just ones positions pwc currently making files point stored need touch base starting let know,0,Meeting Feedback,Other / Uncategorized
